ID,Response
50883,0.36230278998479126
50884,0.19618219834407064
50885,0.15935260564219658
50886,0.24956621221564912
50887,0.2791075958655025
50888,0.20036597962557176
50889,0.2969132401327562
50890,0.35332231955518034
50891,0.2928761004649805
50892,0.2986170785399783
50893,0.21400366307152402
50894,0.2144736698511942
50895,0.2525510611287415
50896,0.19349637424068195
50897,0.24537376187966295
50898,0.2232555173044816
50899,0.15695134694586083
50900,0.24639006119525964
50901,0.2509710363443275
50902,0.29840029598208384
50903,0.18023211876068096
50904,0.29105883725489246
50905,0.20727516231838058
50906,0.08917685250642084
50907,0.1955770028215764
50908,0.21822164321661913
50909,0.2944981286068499
50910,0.29555211039718526
50911,0.12329666417403003
50912,0.22815143091102397
50913,0.271889241183732
50914,0.2281327864596679
50915,0.2705864775270424
50916,0.21390492906685463
50917,0.31612274278699404
50918,0.33416729770045256
50919,0.20596544835891295
50920,0.23611661211499907
50921,0.09823990284809295
50922,0.198068376243689
50923,0.14626357011743824
50924,0.15105158862579351
50925,0.22565840595143008
50926,0.17509738048234347
50927,0.4133841500175236
50928,0.3719663901102049
50929,0.1871004412443109
50930,0.16224682692172726
50931,0.1744526449436939
50932,0.27649587029543576
50933,0.25734431720777085
50934,0.12137219924269435
50935,0.2752683953150223
50936,0.161007849149869
50937,0.3237516129052504
50938,0.26194783534629024
50939,0.30079640571106664
50940,0.2940496117554297
50941,0.3486440550660461
50942,0.4929078100103332
50943,0.21006679729193983
50944,0.18972100321454471
50945,0.2984910944794187
50946,0.32175642465575993
50947,0.21600091674285618
50948,0.28958858432199813
50949,0.18556787723755525
50950,0.23719565942492915
50951,0.28403605788804814
50952,0.5197823830937404
50953,0.18818090560180872
50954,0.08829692224779292
50955,0.08637132569330726
50956,0.21437943175249913
50957,0.03677001489001383
50958,0.20186104683879025
50959,0.03581781043139547
50960,0.3235315903643161
50961,0.13702450433208518
50962,0.26110834320368126
50963,0.3376468002873923
50964,0.19952682936472932
50965,0.551359048754371
50966,0.21444895545327602
50967,0.27037907471310135
50968,0.2863669157655425
50969,0.20334482757446296
50970,0.17567920964897862
50971,0.15705461124862444
50972,0.2585787024818884
50973,0.1332440032472485
50974,0.2165630607981227
50975,0.288516699805982
50976,0.30261297305666957
50977,0.20377003572202118
50978,0.3156273977959251
50979,0.26355900659577386
50980,0.5248808924045976
50981,0.14892905666353803
50982,0.15160693551238427
50983,0.24511315522442634
50984,0.28578127272971865
50985,0.26467004229208135
50986,0.1901000256776985
50987,0.2163545025571275
50988,0.344436501609171
50989,0.035846274541055094
50990,0.30143423481704984
50991,0.3242137888257324
50992,0.2551824365312319
50993,0.21578561543073568
50994,0.1336595143841796
50995,0.25396448324718385
50996,0.03624994874807357
50997,0.23149820650530167
50998,0.18582946266251388
50999,0.03582393036553175
51000,0.23228631125988858
51001,0.18286954037508912
51002,0.16426121423974377
51003,0.514169498081888
51004,0.32835014838660964
51005,0.11084443246963374
51006,0.1651205758334058
51007,0.4783672799560463
51008,0.37370058474876056
51009,0.2252796135130689
51010,0.2716625547148321
51011,0.24629420280207692
51012,0.203065585116304
51013,0.2962105472599496
51014,0.13893342437044087
51015,0.27740550290431654
51016,0.03591676300614619
51017,0.03626429321963522
51018,0.23068974524275623
51019,0.28836214731232557
51020,0.2987155038775102
51021,0.31078192518536785
51022,0.22263279550223797
51023,0.15494810730808423
51024,0.29876948268180287
51025,0.1798774923076868
